Action_cat,"Pre
High-PD x Sighted","Pre
Low-PD x Sighted","Pre
High-PD x Blind","Pre
Low-PD x Blind","Result
High-PD x Sighted","Result
Low-PD x Sighted","Result
High-PD x Blind","Result
Low-PD x Blind"
Arms on Waist Hips,7/49 (14.3%)  i=2,10/63 (15.9%)  i=2,4/56 (7.1%)  i=1.5,9/43 (20.9%)  i=2,5/36 (13.9%)  i=2,0/42 (0%)  i=NA,1/36 (2.8%)  i=2,3/31 (9.7%)  i=2
Arms out,4/49 (8.2%)  i=2,10/63 (15.9%)  i=1.5,4/56 (7.1%)  i=2,1/43 (2.3%)  i=1,8/36 (22.2%)  i=3,10/42 (23.8%)  i=2.5,7/36 (19.4%)  i=2,5/31 (16.1%)  i=2
Arms raised,8/49 (16.3%)  i=1,32/63 (50.8%)  i=3,12/56 (21.4%)  i=2,17/43 (39.5%)  i=2,21/36 (58.3%)  i=2,17/42 (40.5%)  i=2,19/36 (52.8%)  i=2,15/31 (48.4%)  i=3
Chest expanded,30/49 (61.2%)  i=1,44/63 (69.8%)  i=2,33/56 (58.9%)  i=1,25/43 (58.1%)  i=1,26/36 (72.2%)  i=2,25/42 (59.5%)  i=2,30/36 (83.3%)  i=2,22/31 (71%)  i=2
Chest narrowed,14/49 (28.6%)  i=1,15/63 (23.8%)  i=1,11/56 (19.6%)  i=1,19/43 (44.2%)  i=1,13/36 (36.1%)  i=1,21/42 (50%)  i=1,6/36 (16.7%)  i=2,7/31 (22.6%)  i=2
Fists,2/49 (4.1%)  i=2,3/63 (4.8%)  i=2,3/56 (5.4%)  i=2,2/43 (4.7%)  i=2.5,16/36 (44.4%)  i=2,6/42 (14.3%)  i=2,5/36 (13.9%)  i=3,6/31 (19.4%)  i=2.5
Head tilt back,18/49 (36.7%)  i=1,18/63 (28.6%)  i=1,15/56 (26.8%)  i=2,8/43 (18.6%)  i=1,24/36 (66.7%)  i=1.5,24/42 (57.1%)  i=2,17/36 (47.2%)  i=2,17/31 (54.8%)  i=1
Head tilt down,32/49 (65.3%)  i=2,25/63 (39.7%)  i=2,33/56 (58.9%)  i=1,22/43 (51.2%)  i=2,16/36 (44.4%)  i=1,12/42 (28.6%)  i=2,20/36 (55.6%)  i=2,8/31 (25.8%)  i=1
Shoulder slumped,8/49 (16.3%)  i=1,20/63 (31.7%)  i=1,9/56 (16.1%)  i=1,14/43 (32.6%)  i=1,10/36 (27.8%)  i=1,12/42 (28.6%)  i=1,4/36 (11.1%)  i=1,10/31 (32.3%)  i=1
Torso out,4/49 (8.2%)  i=1,10/63 (15.9%)  i=1,10/56 (17.9%)  i=1.5,10/43 (23.3%)  i=1.5,11/36 (30.6%)  i=1,15/42 (35.7%)  i=2,14/36 (38.9%)  i=2,11/31 (35.5%)  i=1
Unique Gesture,15/49 (30.6%)  i=3,26/63 (41.3%)  i=3,9/56 (16.1%)  i=3,19/43 (44.2%)  i=3,15/36 (41.7%)  i=3,13/42 (31%)  i=3,17/36 (47.2%)  i=3,7/31 (22.6%)  i=3
