"Timepoint","Study","Panel","VarSet","dv","group","n1","mean1","sd1","n2","mean2","sd2","t","df","p","cohens_d","hedges_g","levene_p","shapiro_p","bf10","q"
"Pre","Winners","Blind_HighVsLowPD","Emotions","Neutral","High vs Low",76,0.55291458404728,0.180199138437453,56,0.499553566344824,0.183575250390084,1.66344074345421,117.418343076256,0.098891112630745,0.293781336283444,0.292083178270245,0.889936873018733,0.00715044024131277,0.661978281948735,0.165836198354778
"Pre","Winners","Blind_HighVsLowPD","Emotions","Happy","High vs Low",76,0.0494189885169283,0.0933191128176871,56,0.13844245362505,0.193937307869537,-3.17491332581415,73.7923761932488,0.00218721813684195,-0.615247603224815,-0.611691258697503,0.000686450420330991,4.99468947579276e-13,41.1819592482897,0.00984248161578878
"Pre","Winners","Blind_HighVsLowPD","Emotions","Sad","High vs Low",76,0.0668937265975874,0.105445571110497,56,0.0297964659130824,0.0524298690408,2.65395827213466,115.969224793256,0.00907193669386614,0.42616138685369,0.423698026236039,0.0213230004569799,1.91893905455492e-16,2.6031910776781,0.0204118575611988
"Pre","Winners","Blind_HighVsLowPD","Emotions","Angry","High vs Low",76,0.0599104009112568,0.0869152909792113,56,0.0295743226069396,0.0412306592165705,2.66316263490913,113.384669076864,0.00886743685129437,0.425732377208748,0.423271496415634,0.0384264732763825,4.73271101106991e-16,2.58966285037047,0.0204118575611988
"Pre","Winners","Blind_HighVsLowPD","Emotions","Surprised","High vs Low",76,0.00580669157081932,0.0117950286227994,56,0.00956725269150101,0.0175899261258746,-1.38657008462042,90.2197530256697,0.16898969766037,-0.258786279945021,-0.257290405494472,0.129952647209224,9.49384601740096e-17,0.500129847668849,0.170745911598542
"Pre","Winners","Blind_HighVsLowPD","Emotions","Scared","High vs Low",76,0.00864263201590528,0.0164775525228083,56,0.015551516886084,0.0305850573682722,-1.53428959681179,78.4108281562979,0.128983709831494,-0.293953655940691,-0.292254501860109,0.0835904768386108,1.17634705774396e-17,0.662949569655355,0.165836198354778
"Pre","Winners","Blind_HighVsLowPD","Emotions","Disgusted","High vs Low",76,0.0261959390526076,0.0580191073970719,56,0.0460543169104368,0.0953390402508168,-1.38157010337508,84.4983457251867,0.170745911598542,-0.261032016757994,-0.259523161169798,0.146367283420741,8.09468713054437e-19,0.508679081348112,0.170745911598542
"Pre","Winners","Blind_HighVsLowPD","Emotions","Valence","High vs Low",76,-0.0757930575150918,0.178383564818592,56,0.0518853108682814,0.235830365936855,-3.39801482246844,98.3331092089888,0.000981293746284449,-0.623839552917094,-0.620233543940695,0.180557897452974,0.000269177532573868,47.6864734511206,0.00883164371656004
"Pre","Winners","Blind_HighVsLowPD","Emotions","Arousal","High vs Low",76,0.370128289247826,0.0948675693396067,56,0.398318474732028,0.10669818846696,-1.57167609983052,110.293183916631,0.118890112580451,-0.281778672238684,-0.280149893786437,0.514812868497294,0.17348637587723,0.598944508520393,0.165836198354778
"Pre","Winners","Blind_HighVsLowPD","AU","AU01_InnerBrowRaiser","High vs Low",76,0.0611971416810423,0.0628114246031148,56,0.0773256424478977,0.102768304875967,-1.03999321307508,84.736927857028,0.301301416551223,-0.19639173733194,-0.19525652497742,0.2144031603316,3.4393114295947e-13,0.330816142238688,0.430430595073175
"Pre","Winners","Blind_HighVsLowPD","AU","AU02_OuterBrowRaiser","High vs Low",76,0.050025299519808,0.0609177256592537,56,0.0628391968853136,0.0670925640901793,-1.12727963105649,111.848645729199,0.262036813566296,-0.201465729504536,-0.200301187715492,0.333501299392187,1.31135076393522e-11,0.34069931548385,0.426687721921521
"Pre","Winners","Blind_HighVsLowPD","AU","AU04_BrowLowerer","High vs Low",76,0.124189143223859,0.132756303002032,56,0.0744513496950387,0.0949821515610156,2.5089461637854,129.907954950419,0.0133393828162334,0.420591519155597,0.418160354304986,0.0371121858503756,1.45833500812992e-13,2.43385385686237,0.0370294258798829
"Pre","Winners","Blind_HighVsLowPD","AU","AU05_UpperLidRaiser","High vs Low",76,0.029594608610505,0.0372989860714838,56,0.0369905312552691,0.0647318146769307,-0.766383557253081,81.6201772901687,0.445659023860956,-0.145736952937889,-0.1448945428053,0.239092103875609,1.48909725145937e-17,0.256844977287326,0.594212031814608
"Pre","Winners","Blind_HighVsLowPD","AU","AU06_CheekRaiser","High vs Low",76,0.0364386683289025,0.0441087796796988,56,0.0902298979560553,0.0984183749083563,-3.81731219585787,71.339196871805,0.00028470689298341,-0.744487633753615,-0.740184237026715,0.000254243871937911,1.58220541548581e-12,447.633319024605,0.00189804595322273
"Pre","Winners","Blind_HighVsLowPD","AU","AU07_LidTightener","High vs Low",76,0.0941561563767185,0.0855010211531607,56,0.0855379381502581,0.0706795972714917,0.632945171346247,128.227153377032,0.527896624361863,0.108312518169517,0.107686434249462,0.256657685187863,8.86222047392637e-11,0.223484608014028,0.659870780452329
"Pre","Winners","Blind_HighVsLowPD","AU","AU09_NoseWrinkler","High vs Low",76,0.0250781493892033,0.0470420569428567,56,0.02240748403408,0.0335146730664064,0.38084194906908,129.877115056864,0.703942749943787,0.0638061388919288,0.0634373172798368,0.637458293385939,1.03072733700268e-17,0.199756645649954,0.740992368361881
"Pre","Winners","Blind_HighVsLowPD","AU","AU10_UpperLipRaiser","High vs Low",76,0.0618635699599984,0.0643504646930359,56,0.0859407765711109,0.0786133893975545,-1.87528951342496,104.106602453396,0.0635551161628975,-0.340378186833942,-0.338410682863804,0.0583356758357906,2.91181572628766e-11,1.01436824656452,0.127110232325795
"Pre","Winners","Blind_HighVsLowPD","AU","AU12_LipCornerPuller","High vs Low",76,0.108765994149478,0.132499616008402,56,0.202457111679249,0.165860398964648,-3.48622825756941,102.299428133051,0.000723114063624145,-0.635033435850771,-0.631362722348743,0.0210295564698498,5.8178646731929e-08,57.8780612710887,0.00361557031812072
"Pre","Winners","Blind_HighVsLowPD","AU","AU14_Dimpler","High vs Low",76,0.0225983191036915,0.0234541006879516,56,0.0283527790408025,0.03387626305071,-1.09275311168534,92.271929361409,0.277347019248989,-0.203084898703033,-0.20191099755446,0.128714223770095,3.71730591501969e-13,0.343968559266745,0.426687721921521
"Pre","Winners","Blind_HighVsLowPD","AU","AU15_LipCornerDepressor","High vs Low",76,0.0121972500860377,0.012979655515675,56,0.0185030027164326,0.0314417616917269,-1.41461335516337,68.8834622605716,0.161686408842264,-0.277745414777689,-0.276139949952384,0.0422109057348926,2.49237072750133e-17,0.57966932110294,0.293975288804117
"Pre","Winners","Blind_HighVsLowPD","AU","AU17_ChinRaiser","High vs Low",76,0.106241005333394,0.102377407562702,56,0.0686474128568957,0.0812482866422708,2.35056508838868,129.244587917209,0.0202582557378666,0.399849059100408,0.397537792862834,0.135810062555135,1.34902666985559e-11,1.90854136484649,0.045018346084148
"Pre","Winners","Blind_HighVsLowPD","AU","AU18_LipPucker","High vs Low",76,0.041073081399321,0.0750220995076155,56,0.0393314858245451,0.0540229767071486,0.155047548301355,129.946489988747,0.877024406053717,0.0260146973679194,0.0258643233946944,0.821501924686585,9.56423592199361e-19,0.190056590426541,0.877024406053717
"Pre","Winners","Blind_HighVsLowPD","AU","AU20_LipStretcher","High vs Low",76,0.0187450039158885,0.0277852407140453,56,0.0384285126127303,0.0533357843762314,-2.52111469660194,76.9398423650068,0.0137667843091353,-0.484732367489788,-0.481930446290425,0.0109570790906335,1.1402258494014e-15,5.55098258023868,0.0370294258798829
"Pre","Winners","Blind_HighVsLowPD","AU","AU23_LipTightener","High vs Low",76,0.0564140889278665,0.0602210671594149,56,0.0282201461131894,0.0362999147284703,3.34017260849178,125.567573206146,0.00110281285000499,0.54771468587348,0.54454870503028,0.0363373728755535,1.18462382859821e-13,13.8429503781332,0.00441125140001998
"Pre","Winners","Blind_HighVsLowPD","AU","AU24_LipPressor","High vs Low",76,0.0936818061517975,0.0968360035707373,56,0.0417001851050079,0.0471990658831867,4.06944756682487,114.875086583592,8.68093975185765e-05,0.652198097984067,0.648428166781847,0.0153681134906804,1.4021150122758e-14,78.3413962405178,0.000868093975185765
"Pre","Winners","Blind_HighVsLowPD","AU","AU25_LipsPart","High vs Low",76,0.0787626920344537,0.114279715717138,56,0.192723077177116,0.164969401862623,-4.44324411645667,92.3084536840875,2.4591376379986e-05,-0.82570172625495,-0.820928883906656,2.47917355884896e-05,6.92415860160522e-07,2415.1732324555,0.00049182752759972
"Pre","Winners","Blind_HighVsLowPD","AU","AU26_JawDrop","High vs Low",76,0.0356006769644434,0.0469504515935301,56,0.0701819138904805,0.0955741243469317,-2.49491237021537,74.569846229635,0.0148117703519532,-0.48252016054764,-0.479731026671642,0.0104411447150607,1.32546289487287e-14,5.38562991912996,0.0370294258798829
